prompt,target_word
"Describe a peaceful morning in the countryside.","sunrise"
"Explain how renewable energy can help the environment.","solar"
"Write a short story about a robot learning to paint.","canvas"
"Discuss the importance of time management for students.","procrastination"
"Imagine a world where everyone can fly. What would change?","wings"
"Describe the feeling of accomplishment after finishing a hard project.","victory"
"What are the benefits of reading fiction books?","imagination"
"How might cities look in the year 2100?","skyscraper"
"Tell me about a memorable meal youâ€™ve had.","spicy"
"Why is kindness important in everyday life?","empathy"